Index,Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,Location Point
343,Manhattan,Chelsea-Hudson Yards,8th Ave & 24th St,"W 24th St. and 8th Ave., New York, NY, 1001 (Collection bins are on the northwest corner of W 24th St and 8th Ave., near subway exit)",NYC Compost Project Hosted by LES Ecology Center,Year Round,Wednesdays (Start Time: 9:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,104,3,,,,40.745331,-73.998272,10,3878,POINT (-73.998272 40.745331)
344,Staten Island,Snug Harbor,Compost Demonstration Site at Snug Harbor Cultural Center & Botanical Garden,Compost Demonstration Site at Snug Harbor Cultural Center & Botanical Garden 1000 Richmond Terrace,NYC Compost Project Hosted by Snug Harbor Cultural Center & Botanical Garden,Year Round,Every Day (Start Time: Dawn - End Time:  Dusk),"Not accepted: meat, bones, or dairy",www.snug-harbor.org,501,49,,,,40.641619,-74.1012686,120,4303,POINT (-74.1012686 40.641619)
345,Brooklyn,Bedford-Stuyvesant (East),NW Corner of Malcolm X Boulevard & Bainbridge Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,81,3949,
346,Manhattan,Tribeca-Civic Center,Hudson River Park's Pier 25 at N. Moore St.,Pier 25 at N. Moore St. near kid's playground,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),"Not accepted: meat, bones, or dairy",https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,101,1,,,,40.7202214,-74.0128434,1,3856,POINT (-74.0128434 40.7202214)
347,Queens,Old Astoria-Hallets Point,NE Corner of Corner of 31st Ave & 21st St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,4192,
348,Brooklyn,Prospect Heights,Underhill Avenue & Park Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,,,,,,77,3981,
349,Manhattan,Financial District-Battery Park City,SmartComposting: Rector & Washington Streets,Rector and Washington Streets (Southeast corner),Alliance for Downtown New York,Year Round,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,,,,40.70807,-74.01437,1,3849,POINT (-74.01437 40.70807)
350,Brooklyn,Crown Heights (North),NE Corner of Schenectady Avenue & Prospect Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,36,,,,,,77,3960,
351,Staten Island,Mariner's Harbor-Arlington-Graniteville,SW Corner of Maple Parkway & Walloon Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,501,49,,,,,,121,4288,
352,Brooklyn,Prospect Heights,NW Corner of Grand Avenue & St. Marks Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,,,,,,77,3983,
353,Queens,Queensbridge-Ravenswood-Dutch Kills,SE Corner of 35 Avenue & 21 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,26,,,,,,114,4165,
354,Staten Island,St. George-New Brighton,NE Corner of Layton Avenue & Jersey Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,501,49,,,,,,120,4308,
355,Bronx,Riverdale-Spuyten Duyvil,Riverdale Neighborhood House,"5521 Mosholu Ave Bronx, NY 10471",Riverdale Neighborhood House,Year Round,Thursdays (Start Time: 1:00 PM - End Time:  6:00 PM),"Not accepted: meat, bones, or dairy",https://www.riverdaleonline.org/,208,11,,,,40.9035436,-73.9038447,50,4247,POINT (-73.9038447 40.9035436)
356,Bronx,Morrisania,Morrisania,McKinley Square at 169th St & Boston Rd,GrowNYC,Year Round,Wednesdays (Start Time: 10:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,203,17,,,,40.831187,-73.900567,42,4144,POINT (-73.900567 40.831187)
357,Brooklyn,Bedford-Stuyvesant (East),NW Corner of Howard Avenue & Marion Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,41,,,,,,81,3933,
358,Manhattan,West Village,Hudson River Park's Pier 40 at W. Houston St.,Pier 40 at Houston St. near dog park,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),"Not accepted: meat, bones, or dairy",https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,102,3,69,1006560001,1000000,40.7298117,-74.0110087,6,4005,POINT (-74.0110087 40.7298117)
359,Manhattan,Hell's Kitchen,10th Avenue and 43rd Street,"Southeast corner of 10th Avenue and 43rd Street, New York, 10036",LES Ecology Center,Year Round,Tuesdays (Start Time: 9 AM - End Time:  12 PM),"Not accepted: meat, bones, or dairy",www.lesecologycenter.org,104,3,,,,40.7601267,-73.9949035,10,3873,POINT (-73.9949035 40.7601267)
360,Queens,Astoria (Central),PS 17 Wellness Council & Q300 Green Team,"28-37 29th Street, Queens, NY, 11102",Volunteers at PS17,September - June,Mondays (Start Time: 1:30 PM - End Time:  3:30 PM),"Not accepted: meat, bones, or dairy",https://www.ps17queens.com/,401,22,,,,40.767878,-73.923199,114,4176,POINT (-73.923199 40.767878)
361,Brooklyn,Madison,Kings Highway and East 16th Street,"Kings Highway and East 16th Street, northeast corner",NYC Compost Project Hosted by LES Ecology Center,Year Round,Wednesdays (Start Time: 10:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,315,48,,,,40.60927,-73.9573422,61,4276,POINT (-73.9573422 40.60927)
362,Brooklyn,Bushwick (West),NE Corner of Knickerbocker Avenue & Starr Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,34,,,,,,83,4069,
363,Manhattan,Financial District-Battery Park City,Bowling Green Greenmarket,"Broadway at Battery Place, New York, NY 10004",NYC Compost Project Hosted by Earth Matter NY,Year Round,Tuesdays (Start Time: 8:00 AM - End Time:  11:00 AM),,,101,1,,,,40.7046367,-74.0137794,1,3854,POINT (-74.0137794 40.7046367)
364,Brooklyn,Bushwick (East),NE Corner of Bushwick Avenue & Vanderveer Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,4088,
365,Manhattan,Hell's Kitchen,Hudson River Park Pier 96 Boathouse at W 55 St,Park Pier 96 Boathouse at W 55 St,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),"Not accepted: meat, bones, or dairy",https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,6,,,,40.771,-73.995372,18,3869,POINT (-73.995372 40.771)
366,Bronx,University Heights (South)-Morris Heights,NE Corner of W Burnside Avenue & Sedgewick,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,205,14,,,,,,46,4220,
367,Brooklyn,Crown Heights (North),NW Corner of New York Avenue & Dean Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,36,,,,,,77,3956,
368,Bronx,Belmont,SW Corner of E 187 Street & Southern Boulevard,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,206,15,,,,,,48,4232,
369,Bronx,Mott Haven-Port Morris,Padre Plaza Community Garden,"541 E 139th St, Bronx, NY 10454",Padre Plaza Community Garden,Year Round,Mondays and Wednesdays (Start Time: 12:00 PM - End Time:  5:00 PM),"Not accepted: meat, bones, or dairy",,201,8,,,,40.8079687,-73.917581,40,4116,POINT (-73.917581 40.8079687)
370,Brooklyn,Bushwick (East),SE Corner of Knickerbocker Avenue & Menahan Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,4101,
