OID,Mon,Tues,Wed,Thurs,Fri,Sat,Sun
6902,0,0,Start Time: 8:00 AM - End Time: 1:00 PM,0,0,0,0
6928,0,0,Start Time: 8:00 AM - End Time: 12:30 PM,0,0,0,0
6759,0,0,Start Time: 8:30 AM - End Time: 12:30 PM,0,0,0,0
6986,0,0,Start Time: 9:00 AM - End Time: 12:00 PM,0,0,0,0
6724,0,0,Start Time: 9:00 AM - End Time: 2:00 PM,0,0,0,0
6741,0,0,Start Time: 9:00 AM - End Time: 2:00 PM,0,0,0,0
6900,0,0,Start Time: 9:00 AM - End Time: 2:00 PM,0,0,0,0
7074,0,0,Start Time: 9:30 AM - End Time: 1:30 PM,0,0,0,0
6906,0,0,Start Time: 10:30 AM - End Time: 12:30 PM,0,0,Start Time: 10:30 AM - End Time: 12:30 PM,0
6847,0,0,Start Time: 8:00 AM - End Time: 10:00 AM,0,0,Start Time: 11:00 AM - End Time: 1:00 PM,0
6765,0,0,Start Time: 4:30 PM - End Time: 6:30 PM,0,0,Start Time: 9:00 AM - End Time: 1:00 PM,Start Time: 10:00 AM - End Time: 2:00 PM
6766,0,0,Start Time: 5:00 PM - End Time: 6:00 PM,0,0,Start Time: 11:00 AM - End Time: 12:00 PM,0
7166,0,0,Start Time: 10:00 AM - End Time: 5:00 PM,Start Time: 10:00 AM - End Time: 5:00 PM,Start Time: 10:00 AM - End Time: 5:00 PM,Start Time: 10:00 AM - End Time: 2:00 PM,0
6989,0,0,Start Time: 10:00 AM - End Time: 1:00 PM,Start Time: 10:00 AM - End Time: 1:00 PM,0,Start Time: 10:00 AM - End Time: 2:00 PM,0
